"","HHID","PN","gender","race","edu","baselineage","couple1","couple2","couple3","lbcomp1","lbcomp2","lbcomp3","livarr1","livarr2","livarr3","mstat1","mstat2","mstat3","mobility1","mobility2","mobility3","wealth1","wealth2","wealth3","hhsize1","hhsize2","hhsize3","numchild1","numchild2","numchild3","haschild1","haschild2","haschild3","hasfriend1","hasfriend2","hasfriend3","livewithsp1","livewithsp2","livewithsp3","spsupport1","spsupport2","spsupport3","chsupport1","chsupport2","chsupport3","frsupport1","frsupport2","frsupport3","numclosechild1","numclosechild2","numclosechild3","closechild1","closechild2","closechild3","loneliness11.1","loneliness11.2","loneliness11.3","ccratio1","ccratio2","ccratio3","white","married1","married2","married3","deceased","all_frsupport_missing","all_loneliness_missing","exclude_from_analysis"
"7118","527180","010",1,1,17,51,1,1,1,1,1,5,1,1,1,1,1,1,0,0,0,5,5,5,2,2,2,2,2,2,1,1,NA,1,1,NA,1,1,NA,3.66666666666667,4,NA,3.66666666666667,4,NA,3.66666666666667,4,NA,2,2,NA,2,2,NA,1,1,NA,1,1,NA,1,1,1,1,0,FALSE,FALSE,FALSE
"7119","527180","020",0,1,17,54,1,1,1,5,1,5,1,1,1,1,1,1,0,0,0,5,5,5,2,2,2,2,2,2,NA,1,NA,NA,1,NA,NA,1,NA,NA,3.66666666666667,NA,NA,1,NA,NA,4,NA,NA,1,NA,NA,1,NA,NA,2.36363636363636,NA,NA,0.5,NA,1,1,1,1,0,FALSE,FALSE,FALSE
"7120","527182","010",0,1,14,56,0,0,0,1,1,1,5,4,4,2,2,2,0,0,0,1,2,2,1,2,2,1,1,1,1,1,1,1,0,1,0,0,0,NA,NA,NA,3.66666666666667,3,3.33333333333333,3.33333333333333,NA,3,1,1,1,1,1,1,1.18181818181818,1.27272727272727,1,1,1,1,1,0,0,0,0,FALSE,FALSE,FALSE
"7121","527192","010",0,1,12,54,1,1,1,1,1,5,1,1,1,1,1,1,0,0,0,1,3,3,2,2,2,3,3,3,1,NA,NA,1,1,NA,NA,NA,NA,3.66666666666667,3.33333333333333,NA,4,3.33333333333333,NA,4,2.33333333333333,NA,3,3,NA,3,3,NA,1.09090909090909,1.90909090909091,NA,1,1,NA,1,1,1,1,0,FALSE,FALSE,FALSE
"7122","527192","020",1,1,12,53,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,3,3,3,1,NA,NA,1,1,NA,1,NA,NA,3,3,NA,3,4,NA,3.66666666666667,4,NA,3,3,NA,3,3,NA,1.90909090909091,1.45454545454545,NA,1,1,NA,1,1,1,1,0,FALSE,FALSE,FALSE
"7123","527210","010",1,1,12,54,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,4,4,4,2,2,2,2,2,2,1,1,1,1,1,1,NA,1,1,3,3.33333333333333,3.33333333333333,4,4,4,4,4,3,2,2,2,2,2,2,1.09090909090909,1,1.63636363636364,1,1,1,1,1,1,1,0,FALSE,FALSE,FALSE
"7124","527210","020",0,1,12,57,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,4,4,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,4,4,3.66666666666667,3,3.33333333333333,3.33333333333333,2.33333333333333,2.66666666666667,2.66666666666667,2,2,2,2,2,2,1.90909090909091,1.45454545454545,1.63636363636364,1,1,1,1,1,1,1,0,FALSE,FALSE,FALSE
"7125","527228","010",1,1,14,54,0,0,0,5,1,1,5,5,5,4,4,4,0,0,0,2,2,2,1,1,1,0,0,0,NA,0,0,NA,1,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,1.09090909090909,1.36363636363636,NA,NA,NA,1,0,0,0,0,FALSE,FALSE,FALSE
"7126","527238","010",0,1,12,56,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,5,5,5,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,4,4,4,4,3.33333333333333,3.33333333333333,4,3.33333333333333,3.33333333333333,2,2,22,2,2,3,1,1.27272727272727,1.18181818181818,1,1,11,1,1,1,1,0,FALSE,FALSE,FALSE
"7127","527238","020",1,1,12,51,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,5,5,5,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3.66666666666667,4,4,3.33333333333333,3,3.33333333333333,3,2.33333333333333,3,2,2,2,2,2,2,1.45454545454545,1.27272727272727,1.27272727272727,1,1,1,1,1,1,1,0,FALSE,FALSE,FALSE
"7128","527243","010",0,1,13,57,1,1,1,1,1,1,1,1,1,2,2,1,0,0,0,4,3,4,2,2,2,4,4,4,1,1,0,NA,1,1,1,1,1,3,3.66666666666667,2.66666666666667,3.33333333333333,3.66666666666667,NA,NA,3,3,2,2,NA,2,2,NA,2,2.18181818181818,1.81818181818182,0.5,0.5,NA,1,0,0,1,0,FALSE,FALSE,FALSE
"7129","527243","020",1,1,14,51,1,1,1,1,1,1,1,1,1,2,2,1,0,0,0,4,3,4,2,2,2,4,4,4,1,1,1,1,1,1,1,1,1,3.33333333333333,2.33333333333333,2.66666666666667,3.33333333333333,3.33333333333333,2.66666666666667,3,3.33333333333333,3.33333333333333,1,2,2,1,2,2,1.36363636363636,1.63636363636364,1.36363636363636,0.25,0.5,0.5,1,0,0,1,0,FALSE,FALSE,FALSE
"7130","527270","010",0,1,16,56,0,0,0,1,1,1,5,5,5,2,2,2,0,0,0,3,4,5,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,NA,NA,NA,NA,1,NA,3,3,2.33333333333333,NA,0,NA,NA,0,NA,1.18181818181818,1,1.18181818181818,NA,0,NA,1,0,0,0,0,FALSE,FALSE,FALSE
"7131","527273","010",1,1,15,53,0,0,0,1,5,1,5,5,5,4,4,4,1,0,1,1,1,2,1,1,1,0,0,0,0,NA,0,1,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,4,NA,3.33333333333333,NA,NA,NA,NA,NA,NA,1.36363636363636,NA,1.72727272727273,NA,NA,NA,1,0,0,0,0,FALSE,FALSE,FALSE
"7132","527296","010",1,1,16,57,0,0,0,1,1,1,5,5,5,2,2,2,0,0,0,3,3,3,1,1,1,2,2,2,1,1,1,1,1,1,0,0,0,NA,NA,NA,3.33333333333333,2.33333333333333,2,3.66666666666667,3.66666666666667,3.33333333333333,2,1,2,2,1,2,2,1.63636363636364,2,1,0.5,1,1,0,0,0,0,FALSE,FALSE,FALSE
"7133","527296","020",0,1,16,62,0,1,1,1,1,5,5,1,1,2,2,2,0,0,0,3,4,4,1,3,2,2,3,4,1,1,NA,1,1,NA,0,1,NA,NA,4,NA,2.66666666666667,3.33333333333333,NA,2.66666666666667,3,NA,2,2,NA,2,2,NA,1.36363636363636,1.63636363636364,NA,1,0.666666666666667,NA,1,0,0,0,0,FALSE,FALSE,FALSE
